id,target_word,context_string
d000.s000.t000,group,u.n. draft plan reduce emission
d000.s000.t001,plan,u.n. group draft reduce emission
d000.s000.t002,emission,u.n. group draft plan reduce
d000.s001.t000,climate,u.n.-sponsored conference -- characterize far unruly posturing mutual recrimination -- gain renew focus friday release document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near term
d000.s001.t001,conference,u.n.-sponsored climate -- characterize far unruly posturing mutual recrimination -- gain renew focus friday release document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near term
d000.s001.t002,posturing,u.n.-sponsored climate conference -- characterize far unruly mutual recrimination -- gain renew focus friday release document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near term
d000.s001.t003,recrimination,u.n.-sponsored climate conference -- characterize far unruly posturing mutual -- gain renew focus friday release document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near term
d000.s001.t004,focus,u.n.-sponsored climate conference -- characterize far unruly posturing mutual recrimination -- gain renew friday release document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near term
d000.s001.t005,friday,u.n.-sponsored climate conference -- characterize far unruly posturing mutual recrimination -- gain renew focus release document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near term
d000.s001.t006,release,u.n.-sponsored climate conference -- characterize far unruly posturing mutual recrimination -- gain renew focus friday document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near term
d000.s001.t007,document,u.n.-sponsored climate conference -- characterize far unruly posturing mutual recrimination -- gain renew focus friday release outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near term
d000.s001.t008,reduction,u.n.-sponsored climate conference -- characterize far unruly posturing mutual recrimination -- gain renew focus friday release document outline ambitious greenhouse-gas next year industrialize nation shoulder burden near term
d000.s001.t009,year,u.n.-sponsored climate conference -- characterize far unruly posturing mutual recrimination -- gain renew focus friday release document outline ambitious greenhouse-gas reduction next industrialize nation shoulder burden near term
d000.s001.t010,burden,u.n.-sponsored climate conference -- characterize far unruly posturing mutual recrimination -- gain renew focus friday release document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder near term
d000.s001.t011,term,u.n.-sponsored climate conference -- characterize far unruly posturing mutual recrimination -- gain renew focus friday release document outline ambitious greenhouse-gas reduction next year industrialize nation shoulder burden near
d000.s002.t000,text,could provide basis final political deal regulate greenhouse_gas highlight remain obstacle much illuminate path forward
d000.s002.t001,basis,text could provide final political deal regulate greenhouse_gas highlight remain obstacle much illuminate path forward
d000.s002.t002,deal,text could provide basis final political regulate greenhouse_gas highlight remain obstacle much illuminate path forward
d000.s002.t003,greenhouse_gas,text could provide basis final political deal regulate highlight remain obstacle much illuminate path forward
d000.s002.t004,obstacle,text could provide basis final political deal regulate greenhouse_gas highlight remain much illuminate path forward
d000.s002.t005,path,text could provide basis final political deal regulate greenhouse_gas highlight remain obstacle much illuminate forward
