id,target_word,context_string
d000.s000.t000,man,say
d000.s000.t001,say,man
d000.s001.t000,peer,haney doubtfully drinking companion bleary tear-filled eye
d000.s001.t001,companion,haney peer doubtfully drinking bleary tear-filled eye
d000.s001.t002,bleary,haney peer doubtfully drinking companion tear-filled eye
d000.s001.t003,eye,haney peer doubtfully drinking companion bleary tear-filled
d000.s002.t000,have,ready answer much surprise fit coughing
d000.s002.t001,ready,answer much surprise fit coughing
d000.s002.t002,answer,ready much surprise fit coughing
d000.s002.t003,much,ready answer surprise fit coughing
d000.s002.t004,surprise,ready answer much fit coughing
d000.s002.t005,fit,ready answer much surprise coughing
d000.s002.t006,coughing,ready answer much surprise fit
d000.s003.t000,man,drunk crazy
d000.s003.t001,drunk,man crazy
d000.s003.t002,crazy,man drunk
d000.s004.t000,newfound,buddy match drink drink lose count man eye still clear
d000.s004.t001,buddy,newfound match drink drink lose count man eye still clear
d000.s004.t002,match,newfound buddy drink drink lose count man eye still clear
d000.s004.t003,drink,newfound buddy match drink lose count man eye still clear
d000.s004.t004,drink,newfound buddy match drink lose count man eye still clear
d000.s004.t005,lose,newfound buddy match drink drink count man eye still clear
d000.s004.t006,count,newfound buddy match drink drink lose man eye still clear
d000.s004.t007,man,newfound buddy match drink drink lose count eye still clear
d000.s004.t008,eye,newfound buddy match drink drink lose count man still clear
d000.s004.t009,clear,newfound buddy match drink drink lose count man eye still
d000.s005.t000,guy,rocker haney think look_away eye
d000.s005.t001,rocker,guy haney think look_away eye
d000.s005.t002,think,guy rocker haney look_away eye
d000.s005.t003,look_away,guy rocker haney think eye
d000.s005.t004,eye,guy rocker haney think look_away
d000.s006.t000,eye,clear also bright strange intensity sort cold fire burn behind
d000.s006.t001,clear,eye also bright strange intensity sort cold fire burn behind
d000.s006.t002,bright,eye clear also strange intensity sort cold fire burn behind
d000.s006.t003,strange,eye clear also bright intensity sort cold fire burn behind
d000.s006.t004,intensity,eye clear also bright strange sort cold fire burn behind
d000.s006.t005,cold,eye clear also bright strange intensity sort fire burn behind
d000.s006.t006,fire,eye clear also bright strange intensity sort cold burn behind
d000.s006.t007,burn,eye clear also bright strange intensity sort cold fire behind
d000.s007.t000,notice,n't
d000.s008.t000,man,drunk
d000.s008.t001,drunk,man
d000.s009.t000,wonder,get tie stranger
d000.s009.t001,get,wonder tie stranger
d000.s009.t002,tie,wonder get stranger
d000.s009.t003,stranger,wonder get tie
d000.s010.t000,remember,course
d000.s011.t000,blur,two hour steady drinking occasion come_back
d000.s011.t001,hour,blur two steady drinking occasion come_back
d000.s011.t002,steady,blur two hour drinking occasion come_back
d000.s011.t003,drinking,blur two hour steady occasion come_back
d000.s011.t004,occasion,blur two hour steady drinking come_back
d000.s011.t005,come_back,blur two hour steady drinking occasion
d000.s012.t000,stranger,head seemingly sink thought start cross street light huge moving_van roar intersection
d000.s012.t001,head,stranger seemingly sink thought start cross street light huge moving_van roar intersection
d000.s012.t002,sink,stranger head seemingly thought start cross street light huge moving_van roar intersection
