d000.s000.t000 document%1:10:00::
d000.s000.t001 summary%1:10:00::
d000.s000.t002 european%1:18:00::
d000.s000.t003 populace%1:14:00::
d000.s000.t004 appraisal%1:09:00::
d000.s000.t005 report%1:10:03::
d000.s001.t000 explain%2:32:00::
d000.s001.t001 committee%1:14:00::
d000.s001.t002 medicative%5:00:00:healthful:00
d000.s001.t003 merchandise%1:06:00::
d000.s001.t004 homo%1:05:00::
d000.s001.t005 use%1:04:00::
d000.s001.t006 buttocks%1:08:00::
d000.s001.t007 survey%1:04:02::
d000.s001.t008 perform%2:36:00::
d000.s001.t009 range%1:15:01::
d000.s001.t010 recommendation%1:10:00::
d000.s001.t011 use%1:04:00::
d000.s001.t012 medicine%1:09:00::
d000.s002.t000 need%1:26:00::
d000.s002.t001 more%1:18:00::
d000.s002.t002 information%1:10:00::
d000.s002.t003 checkup%1:04:00::
d000.s002.t004 condition%1:26:00::
d000.s002.t005 treatment%1:04:00::
d000.s002.t006 read%1:10:00::
d000.s002.t007 package%1:14:00::
d000.s002.t008 cusp%1:08:01::
d000.s002.t009 besides%4:02:03::
d000.s002.t010 part%1:24:00::
d000.s002.t011 contact%1:04:02::
d000.s002.t012 doctor%1:18:00::
d000.s002.t013 pharmacist%1:18:00::
d000.s003.t000 privation%1:26:00::
d000.s003.t001 more%1:18:00::
d000.s003.t002 information%1:10:00::
d000.s003.t003 footing%1:24:00::
d000.s003.t004 recommendation%1:10:00::
d000.s003.t005 read%1:10:00::
d000.s003.t006 scientific%3:01:00::
d000.s003.t007 discussion%1:10:02::
d000.s003.t008 besides%4:02:03::
d000.s003.t009 part%1:24:00::
d000.s005.t000 powder%1:27:00::
d000.s005.t001 constitute%2:42:00::
d000.s005.t002 solution%1:27:00::
d000.s005.t003 infusion%1:27:00::
d000.s005.t004 drip%1:11:00::
d000.s005.t005 vein%1:08:00::
d000.s006.t000 incorporate%2:42:00::
d000.s006.t001 active_agent%1:27:00::
d000.s006.t002 substance%1:03:00::
d000.s007.t000 use%1:04:00::
d000.s008.t000 use%1:04:00::
d000.s008.t001 dainty%1:13:00::
d000.s008.t002 type%1:09:00::
d000.s008.t003 cancer%1:26:00::
d000.s008.t004 pleural%3:01:00::
d000.s008.t005 mesothelioma%1:26:00::
d000.s008.t006 cancer%1:26:00::
d000.s008.t007 lining%1:06:00::
d000.s008.t008 lung%1:08:00::
d000.s008.t009 normally%4:02:00::
d000.s008.t010 cause%1:11:00::
d000.s008.t011 exposure%1:07:00::
d000.s008.t012 asbestos%1:27:00::
d000.s009.t000 use%1:04:00::
d000.s009.t001 jointly%4:02:00::
d000.s009.t002 anticancer%3:01:00::
d000.s009.t003 medicine%1:09:00::
d000.s009.t004 cancer%1:26:00::
d000.s009.t005 remove%1:07:00::
d000.s009.t006 surgery%1:09:00::
d000.s009.t007 alone%5:00:00:unsocial:00
d000.s009.t008 malignant%3:00:02::
d000.s009.t009 spread%1:11:00::
d000.s009.t010 likely%3:00:00::
d000.s009.t011 spread%1:11:00::
d000.s009.t012 easily%4:02:01::
d000.s009.t013 other%3:00:00::
d000.s009.t014 part%1:24:00::
d000.s009.t015 body%1:08:00::
d000.s009.t016 patient%1:18:00::
d000.s009.t017 not%4:02:00::
d000.s009.t018 receive%2:40:00::
d000.s009.t019 chemotherapy%1:04:00::
d000.s009.t020 medicine%1:09:00::
d000.s009.t021 cancer%1:26:00::
d000.s009.t022 advance%2:38:00::
d000.s009.t023 metastatic%3:01:00::
d000.s009.t024 cell%1:06:03::
d000.s009.t025 lung_cancer%1:26:00::
d000.s009.t026 not%4:02:00::
d000.s009.t027 affect%1:12:00::
d000.s009.t028 squamous_cell%1:08:00::
d000.s010.t000 use%1:04:00::
d000.s010.t001 combination%1:14:00::
d000.s010.t002 patient%1:18:00::
d000.s010.t003 not%4:02:00::
d000.s010.t004 dainty%1:13:00::
d000.s010.t005 patient%1:18:00::
d000.s010.t006 receive%2:40:00::
d000.s010.t007 type%1:09:00::
d000.s010.t008 chemotherapy%1:04:00::
d000.s010.t009 past%1:28:00::
d000.s011.t000 medicine%1:09:00::
d000.s011.t001 lone%5:00:00:single:05
d000.s011.t002 obtain%2:40:00::
d000.s011.t003 prescription%1:10:00::
d000.s012.t000 use%1:04:00::
d000.s013.t000 lone%5:00:00:single:05
d000.s013.t001 give%1:07:00::
d000.s013.t002 supervision%1:04:00::
d000.s013.t003 doctor%1:18:00::
d000.s013.t004 use%1:04:00::
d000.s013.t005 anticancer%3:01:00::
d000.s013.t006 chemotherapy%1:04:00::
d000.s014.t000 dose%1:06:00::
d000.s014.t001 milligram%1:23:00::
d000.s014.t002 square_meter%1:23:00::
d000.s014.t003 body%1:08:00::
d000.s014.t004 area%1:07:00::
d000.s014.t005 calculate%2:31:00::
d000.s014.t006 use%1:04:00::
d000.s014.t007 patient%1:18:00::
d000.s014.t008 height%1:07:00::
d000.s014.t009 weight%1:07:00::
d000.s015.t000 give%1:07:00::
d000.s015.t001 once%4:02:00::
d000.s015.t002 every%5:00:00:all:00
d000.s015.t003 week%1:28:00::
d000.s015.t004 intravenous%3:01:00::
d000.s015.t005 infusion%1:27:00::
d000.s015.t006 stopping_point%1:28:00::
d000.s015.t007 minute%1:28:00::
d000.s016.t000 reduce%2:30:00::
d000.s016.t001 side_effect%1:26:00::
d000.s016.t002 patient%1:18:00::
